13:001:001	Adam, Sheth, Enosh,
13:001:002	Kenan, Mahalaleel, Jered,
13:001:003	Henoch, Methuselah, Lamech,
13:001:004	Noah, Shem, Ham, and Japheth.
13:001:005	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
13:001:006	And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah.
13:001:007	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.
13:001:008	The sons of Ham; Cush, and Mizraim, Put, and Canaan.
13:001:009	And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.
13:001:010	And Cush begat Nimrod: he began to be mighty upon the earth.
13:001:011	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
13:001:012	And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.
13:001:013	And Canaan begat Zidon his firstborn, and Heth,
13:001:014	The Jebusite also, and the Amorite, and the Girgashite,
13:001:015	And the Hivite, and the Arkite, and the Sinite,
13:001:016	And the Arvadite, and the Zemarite, and the Hamathite.
13:001:017	The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
13:001:018	And Arphaxad begat Shelah, and Shelah begat Eber.
13:001:019	And unto Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.
13:001:020	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
13:001:021	Hadoram also, and Uzal, and Diklah,
13:001:022	And Ebal, and Abimael, and Sheba,
13:001:023	And Ophir, and Havilah, and Jobab. All these were the sons of Joktan.
13:001:024	Shem, Arphaxad, Shelah,
13:001:025	Eber, Peleg, Reu,
13:001:026	Serug, Nahor, Terah,
13:001:027	Abram; the same is Abraham.
13:001:028	The sons of Abraham; Isaac, and Ishmael.
13:001:029	These are their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,
13:001:030	Mishma, and Dumah, Massa, Hadad, and Tema,
13:001:031	Jetur, Naphish, and Kedemah. These are the sons of Ishmael.
13:001:032	Now the sons of Keturah, Abraham's concubine: she bare Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan; Sheba, and Dedan.
13:001:033	And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these are the sons of Keturah.
13:001:034	And Abraham begat Isaac. The sons of Isaac; Esau and Israel.
13:001:035	The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.
13:001:036	The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.
13:001:037	The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah.
13:001:038	And the sons of Seir; Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezar, and Dishan.
13:001:039	And the sons of Lotan; Hori, and Homam: and Timna was Lotan's sister.
13:001:040	The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. and the sons of Zibeon; Aiah, and Anah.
13:001:041	The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran.
13:001:042	The sons of Ezer; Bilhan, and Zavan, and Jakan. The sons of Dishan; Uz, and Aran.
13:001:043	Now these are the kings that reigned in the land of Edom before any king reigned over the children of Israel; Bela the son of Beor: and the name of his city was Dinhabah.
13:001:044	And when Bela was dead, Jobab the son of Zerah of Bozrah reigned in his stead.
13:001:045	And when Jobab was dead, Husham of the land of the Temanites reigned in his stead.
13:001:046	And when Husham was dead, Hadad the son of Bedad, which smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.
13:001:047	And when Hadad was dead, Samlah of Masrekah reigned in his stead.
13:001:048	And when Samlah was dead, Shaul of Rehoboth by the river reigned in his stead.
13:001:049	And when Shaul was dead, Baalhanan the son of Achbor reigned in his stead.
13:001:050	And when Baalhanan was dead, Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab.
13:001:051	Hadad died also. And the dukes of Edom were; duke Timnah, duke Aliah, duke Jetheth,
13:001:052	Duke Aholibamah, duke Elah, duke Pinon,
13:001:053	Duke Kenaz, duke Teman, duke Mibzar,
13:001:054	Duke Magdiel, duke Iram. These are the dukes of Edom.
13:002:001	These are the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,
