41:001:001	The beginning of the gospel of Jesus Christ, the Son of God;
41:001:002	As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.
41:001:003	The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.
41:001:004	John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.
41:001:005	And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.
41:001:006	And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;
41:001:007	And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.
41:001:008	I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.
41:001:009	And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.
41:001:010	And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:
41:001:011	And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased.
41:001:012	And immediately the spirit driveth him into the wilderness.
41:001:013	And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him.
41:001:014	Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God,
41:001:015	And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel.
41:001:016	Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea: for they were fishers.
41:001:017	And Jesus said unto them, Come ye after me, and I will make you to become fishers of men.
41:001:018	And straightway they forsook their nets, and followed him.
41:001:019	And when he had gone a little farther thence, he saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets.
41:001:020	And straightway he called them: and they left their father Zebedee in the ship with the hired servants, and went after him.
41:001:021	And they went into Capernaum; and straightway on the sabbath day he entered into the synagogue, and taught.
41:001:022	And they were astonished at his doctrine: for he taught them as one that had authority, and not as the scribes.
41:001:023	And there was in their synagogue a man with an unclean spirit; and he cried out,
41:001:024	Saying, Let us alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art, the Holy One of God.
41:001:025	And Jesus rebuked him, saying, Hold thy peace, and come out of him.
41:001:026	And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.
41:001:027	And they were all amazed, insomuch that they questioned among themselves, saying, What thing is this? what new doctrine is this? for with authority commandeth he even the unclean spirits, and they do obey him.
41:001:028	And immediately his fame spread abroad throughout all the region round about Galilee.
41:001:029	And forthwith, when they were come out of the synagogue, they entered into the house of Simon and Andrew, with James and John.
41:001:030	But Simon's wife's mother lay sick of a fever, and anon they tell him of her.
41:001:031	And he came and took her by the hand, and lifted her up; and immediately the fever left her, and she ministered unto them.
41:001:032	And at even, when the sun did set, they brought unto him all that were diseased, and them that were possessed with devils.
41:001:033	And all the city was gathered together at the door.
41:001:034	And he healed many that were sick of divers diseases, and cast out many devils; and suffered not the devils to speak, because they knew him.
