45:001:001	Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,
45:001:002	(Which he had promised afore by his prophets in the holy scriptures,)
45:001:003	Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;
45:001:004	And declared to be the Son of God with power, according to the spirit of holiness, by the resurrection from the dead:
45:001:005	By whom we have received grace and apostleship, for obedience to the faith among all nations, for his name:
45:001:006	Among whom are ye also the called of Jesus Christ:
45:001:007	To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.
45:001:008	First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.
45:001:009	For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make mention of you always in my prayers;
45:001:010	Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.
45:001:011	For I long to see you, that I may impart unto you some spiritual gift, to the end ye may be established;
45:001:012	That is, that I may be comforted together with you by the mutual faith both of you and me.
45:001:013	Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles.
45:001:014	I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.
45:001:015	So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.
45:001:016	For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.
45:001:017	For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.
45:001:018	For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;
45:001:019	Because that which may be known of God is manifest in them; for God hath shewed it unto them.
45:001:020	For the invisible things of him from the creation of the world are clearly seen, being understood by the things that are made, even his eternal power and Godhead; so that they are without excuse:
45:001:021	Because that, when they knew God, they glorified him not as God, neither were thankful; but became vain in their imaginations, and their foolish heart was darkened.
45:001:022	Professing themselves to be wise, they became fools,
45:001:023	And changed the glory of the uncorruptible God into an image made like to corruptible man, and to birds, and fourfooted beasts, and creeping things.
45:001:024	Wherefore God also gave them up to uncleanness through the lusts of their own hearts, to dishonour their own bodies between themselves:
45:001:025	Who changed the truth of God into a lie, and worshipped and served the creature more than the Creator, who is blessed for ever. Amen.
45:001:026	For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:
45:001:027	And likewise also the men, leaving the natural use of the woman, burned in their lust one toward another; men with men working that which is unseemly, and receiving in themselves that recompence of their error which was meet.
45:001:028	And even as they did not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient;
45:001:029	Being filled with all unrighteousness, fornication, wickedness, covetousness, maliciousness; full of envy, murder, debate, deceit, malignity; whisperers,
45:001:030	Backbiters, haters of God, despiteful, proud, boasters, inventors of evil things, disobedient to parents,
45:001:031	Without understanding, covenantbreakers, without natural affection, implacable, unmerciful:
45:001:032	Who knowing the judgment of God, that they which commit such things are worthy of death, not only do the same, but have pleasure in them that do them.
45:002:001	Therefore thou art inexcusable, O man, whosoever thou art that judgest: for wherein thou judgest another, thou condemnest thyself; for thou that judgest doest the same things.
45:002:002	But we are sure that the judgment of God is according to truth against them which commit such things.
45:002:003	And thinkest thou this, O man, that judgest them which do such things, and doest the same, that thou shalt escape the judgment of God?
45:002:004	Or despisest thou the riches of his goodness and forbearance and longsuffering; not knowing that the goodness of God leadeth thee to repentance?
45:002:005	But after thy hardness and impenitent heart treasurest up unto thyself wrath against the day of wrath and revelation of the righteous judgment of God;
45:002:006	Who will render to every man according to his deeds:
45:002:007	To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life:
45:002:008	But unto them that are contentious, and do not obey the truth, but obey unrighteousness, indignation and wrath,
45:002:009	Tribulation and anguish, upon every soul of man that doeth evil, of the Jew first, and also of the Gentile;
45:002:010	But glory, honour, and peace, to every man that worketh good, to the Jew first, and also to the Gentile:
45:002:011	For there is no respect of persons with God.
45:002:012	For as many as have sinned without law shall also perish without law: and as many as have sinned in the law shall be judged by the law;
45:002:013	(For not the hearers of the law are just before God, but the doers of the law shall be justified.
45:002:014	For when the Gentiles, which have not the law, do by nature the things contained in the law, these, having not the law, are a law unto themselves:
45:002:015	Which shew the work of the law written in their hearts, their conscience also bearing witness, and their thoughts the mean while accusing or else excusing one another;)
45:002:016	In the day when God shall judge the secrets of men by Jesus Christ according to my gospel.
45:002:017	Behold, thou art called a Jew, and restest in the law, and makest thy boast of God,
45:002:018	And knowest his will, and approvest the things that are more excellent, being instructed out of the law;
45:002:019	And art confident that thou thyself art a guide of the blind, a light of them which are in darkness,
45:002:020	An instructor of the foolish, a teacher of babes, which hast the form of knowledge and of the truth in the law.
45:002:021	Thou therefore which teachest another, teachest thou not thyself? thou that preachest a man should not steal, dost thou steal?
45:002:022	Thou that sayest a man should not commit adultery, dost thou commit adultery? thou that abhorrest idols, dost thou commit sacrilege?
45:002:023	Thou that makest thy boast of the law, through breaking the law dishonourest thou God?
45:002:024	For the name of God is blasphemed among the Gentiles through you, as it is written.
45:002:025	For circumcision verily profiteth, if thou keep the law: but if thou be a breaker of the law, thy circumcision is made uncircumcision.
45:002:026	Therefore if the uncircumcision keep the righteousness of the law, shall not his uncircumcision be counted for circumcision?
45:002:027	And shall not uncircumcision which is by nature, if it fulfil the law, judge thee, who by the letter and circumcision dost transgress the law?
45:002:028	For he is not a Jew, which is one outwardly; neither is that circumcision, which is outward in the flesh:
45:002:029	But he is a Jew, which is one inwardly; and circumcision is that of the heart, in the spirit, and not in the letter; whose praise is not of men, but of God.
45:003:001	What advantage then hath the Jew? or what profit is there of circumcision?
45:003:002	Much every way: chiefly, because that unto them were committed the oracles of God.
45:003:003	For what if some did not believe? shall their unbelief make the faith of God without effect?
45:003:004	God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged.
45:003:005	But if our unrighteousness commend the righteousness of God, what shall we say? Is God unrighteous who taketh vengeance? (I speak as a man)
45:003:006	God forbid: for then how shall God judge the world?
45:003:007	For if the truth of God hath more abounded through my lie unto his glory; why yet am I also judged as a sinner?
45:003:008	And not rather, (as we be slanderously reported, and as some affirm that we say,) Let us do evil, that good may come? whose damnation is just.
45:003:009	What then? are we better than they? No, in no wise: for we have before proved both Jews and Gentiles, that they are all under sin;
45:003:010	As it is written, There is none righteous, no, not one:
45:003:011	There is none that understandeth, there is none that seeketh after God.
45:003:012	They are all gone out of the way, they are together become unprofitable; there is none that doeth good, no, not one.
45:003:013	Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:
45:003:014	Whose mouth is full of cursing and bitterness:
45:003:015	Their feet are swift to shed blood:
45:003:016	Destruction and misery are in their ways:
45:003:017	And the way of peace have they not known:
45:003:018	There is no fear of God before their eyes.
45:003:019	Now we know that what things soever the law saith, it saith to them who are under the law: that every mouth may be stopped, and all the world may become guilty before God.
45:003:020	Therefore by the deeds of the law there shall no flesh be justified in his sight: for by the law is the knowledge of sin.
45:003:021	But now the righteousness of God without the law is manifested, being witnessed by the law and the prophets;
45:003:022	Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference:
45:003:023	For all have sinned, and come short of the glory of God;
45:003:024	Being justified freely by his grace through the redemption that is in Christ Jesus:
45:003:025	Whom God hath set forth to be a propitiation through faith in his blood, to declare his righteousness for the remission of sins that are past, through the forbearance of God;
